Device ID,Build Date,Cookie Ver,Session ID,Play Mode,Language,Event ID,Time Taken,Result,Age,Session Total Time,Total Correct,Total Wrong
80GXJG8W,2015-04-02,13,JKS91,play all,kn-in,2C_Length,00:00:10,Correct,15,00:04:41,7,10
80GXJG8W,2015-04-02,13,JKS91,play all,kn-in,2D_Number_Sense,00:00:11,Incorrect,15,00:04:41,7,10
80GXJG8W,2015-04-02,13,JKS91,play all,kn-in,2E_Add_Subtract,00:00:08,Incorrect,15,00:04:41,7,10
80GXJG8W,2015-04-02,13,JKS91,play all,kn-in,3A_Number_Sense,00:00:23,Incorrect,15,00:04:41,7,10
80GXJG8W,2015-04-02,13,JKS91,play all,kn-in,3B_Patterns,00:00:14,Incorrect,15,00:04:41,7,10
80GXJG8W,2015-04-02,13,JKS91,play all,kn-in,3C_Add_Subtract,00:00:08,Incorrect,15,00:04:41,7,10
80GXJG8W,2015-04-02,13,JKS91,play all,kn-in,3D_Weight,00:00:20,Incorrect,15,00:04:41,7,10
80GXJG8W,2015-04-02,13,JKS91,play all,kn-in,4A_Number_Sense,00:00:20,Incorrect,15,00:04:41,7,10
0UCAFW98,2015-04-02,13,WFQ4Q,play all,kn-in,T_Tutorial,00:00:10,Correct,23,00:05:56,8,7
0UCAFW98,2015-04-02,13,WFQ4Q,play all,kn-in,T2_Tutorial,00:00:07,Correct,23,00:05:56,8,7
0UCAFW98,2015-04-02,13,WFQ4Q,play all,kn-in,1A_Premath,00:00:17,Correct,23,00:05:56,8,7
0UCAFW98,2015-04-02,13,WFQ4Q,play all,kn-in,1B_Premath,00:00:12,Incorrect,23,00:05:56,8,7
0UCAFW98,2015-04-02,13,WFQ4Q,play all,kn-in,1C_Order_By_Size,00:00:59,Correct,23,00:05:56,8,7
0UCAFW98,2015-04-02,13,WFQ4Q,play all,kn-in,1D_Premath,00:00:08,Correct,23,00:05:56,8,7
0UCAFW98,2015-04-02,13,WFQ4Q,play all,kn-in,1E_Premath,00:01:07,Correct,23,00:05:56,8,7
0UCAFW98,2015-04-02,13,WFQ4Q,play all,kn-in,2A_Length,00:00:20,Correct,23,00:05:56,8,7
0UCAFW98,2015-04-02,13,WFQ4Q,play all,kn-in,2B_Patterns,00:00:29,Incorrect,23,00:05:56,8,7
0UCAFW98,2015-04-02,13,WFQ4Q,play all,kn-in,2C_Length,00:00:07,Incorrect,23,00:05:56,8,7
0UCAFW98,2015-04-02,13,WFQ4Q,play all,kn-in,2D_Number_Sense,00:00:16,Correct,23,00:05:56,8,7
0UCAFW98,2015-04-02,13,WFQ4Q,play all,kn-in,2E_Add_Subtract,00:00:18,Incorrect,23,00:05:56,8,7
